longitude,latitude
113.014296,40.154588
113.014167,40.154444
113.016389,40.128889
113.014444,40.138056
113.009067,40.130947
113.021944,40.129444
113.012778,40.133889
113.020833,40.135
113.012222,40.1275
113.0225,40.124444
113.008972,40.090023
113.0275,40.123889
113.02744,40.141637
113.026486,40.140739
113.011667,40.140278
113.014722,40.138056
113.020833,40.130556
113.024167,40.126667
113.001667,40.130278
112.986389,40.147778
113.000556,40.131667
112.994167,40.133333
112.992778,40.146667
113.018889,40.126944
113.018611,40.123889
113.012222,40.161944
113.015556,40.123611
113.019444,40.121389
113.015278,40.161944
112.996944,40.153889
112.986389,40.164722
112.9925,40.138611
113.011245,40.089065
113.01792,40.091724
112.996944,40.135556
112.985556,40.145278
112.988333,40.484167
112.991111,40.149444
112.994722,40.146944
112.989167,40.143056
112.995833,40.140556
112.998611,40.144167
113.029444,40.101111
112.981111,40.151111
112.981389,40.148333
112.986667,40.148889
112.979722,40.148611
112.992778,40.148889
112.995833,40.149444
113.024444,40.0825
113.036944,40.109722
113.029444,40.104444
112.989444,40.153889
113.033611,40.109167
113.018056,40.098611
113.032778,40.111111
113.006387,40.101084
112.991953,40.091953
113.01417,40.088981
113.027914,40.094016
113.022016,40.090417
113.017318,40.089396
113.027373,40.088386
112.996667,40.100833
113.014243,40.088423
113.009838,40.088945
113.002778,40.081389
113.010278,40.081389
113.018399,40.084587
112.993333,40.1
112.981111,40.065
113.016298,40.094105
113.388333,40.090455
113.016445,40.089852
113.027745,40.090183
113.022297,40.086343
113.026849,40.085398
113,40.099167
113.0093,40.085438
113.0148,40.088632
113.000278,40.081389
112.998333,40.080833
112.996944,40.097222
113.006911,40.079572
113.001111,40.101111
113.016817,40.090991
113.016387,40.094105
112.992222,36.351389
113.033889,36.303333
113.027778,36.285
113.007778,36.314167
113.014444,36.318611
113.001111,36.3025
113.009444,36.287778
113.011944,36.285833
113.011944,36.290556
112.998333,36.313056
113.008056,36.311667
113.040833,36.378056
113.019444,36.295833
113.036667,36.384722
113.045556,36.341667
113.045833,36.344167
113.035278,36.372222
113.030833,36.317222
113.018889,36.288889
112.996667,36.336667
113.024167,36.324722
113.024167,36.298611
113.036111,36.314167
113.035,36.356111
113.005556,36.381944
112.993611,36.383889
113.013611,36.379444
113.048611,36.377222
113.023333,36.286111
113.03,36.323611
113.041667,36.331667
113.044167,36.340278
113.038889,36.340278
113.039722,36.38
112.998056,36.33
112.992778,36.318333
113.025278,36.336944
113.000833,36.343056
113.021944,36.350833
113.016667,36.357778
113.026111,36.294722
