longitude,latitude
111.930556,36.804444
111.930833,36.806944
111.929444,36.806111
111.099722,37.61
112.894444,37.368056
111.089167,37.608056
112.825833,37.379444
112.855278,37.375556
112.853333,37.383333
112.493878,35.797067
112.821111,37.366667
112.537444,35.811472
111.976111,36.698611
113.947361,37.363694
113.945889,37.356028
113.011944,40.107222
112.820278,37.365278
112.82,37.366667
113.965967,37.3698
113.972656,37.379375
113.93605,37.512786
113.932069,37.517064
113.930956,37.493636
113.949194,37.426661
111.908611,36.781667
113.938722,37.383083
113.895436,37.508444
112.820278,37.365833
111.914444,36.765
111.923056,36.7925
112.885278,38.423611
112.898056,38.434722
113.127889,40.080222
113.116139,40.090333
113.94975,37.354
113.947361,37.362306
112.613611,35.7
111.071944,37.5925
112.633611,35.690556
112.611111,35.701944
112.636944,35.6675
112.798611,37.307222
112.500808,35.788353
112.651111,35.706389
112.638056,35.667778
112.633611,35.674722
111.103333,37.616944
112.875556,38.382222
112.636389,35.673333
112.636111,35.668889
112.069848,40.965005
111.086111,37.602778
112.6175,35.674444
112.606111,35.65
113.939528,37.366944
113.020556,40.078889
112.14943,40.99859
113.021944,40.078056
111.915,36.786111
113.929417,37.376306
111.068889,37.604167
111.074444,37.634722
111.040833,37.625833
111.020278,37.613611
111.031667,37.602222
111.025278,37.6225
113.103642,40.010842
111.6825,36.781944
112.819444,37.338056
113.01,40.1025
112.8925,38.576667
112.875556,38.384722
113.927694,37.477694
113.927,37.479028
111.080833,37.604167
111.066111,37.611667
111.634167,36.746667
111.038056,37.613333
111.012222,37.6125
111.033889,37.622778
111.088056,37.611667
111.088889,37.606389
111.094722,37.593611
111.029167,37.602778
111.026667,37.602778
111.018889,37.826111
112.023611,40.953056
111.951111,36.705833
111.926389,36.828889
111.639167,36.748333
112.821111,37.3475
113.960667,37.431111
113.977806,37.43425
113.014167,40.078333
113.969194,37.433139
111.9375,36.794167
111.927778,36.741944
111.963333,36.699722
111.926389,36.778611
111.933889,36.799167
112.635833,35.676389
111.491111,36.709167
111.914167,36.787222
111.665833,36.766389
113.963325,37.470492
111.498889,36.781111
111.083611,37.603056
111.058889,37.629167
111.114167,37.610833
111.100833,37.610278
113.010833,40.071944
113.972556,37.452167
112.85,37.39
113.960303,37.371425
111.916667,36.782778
112.856389,38.357222
112.560397,35.816169
112.824444,37.370833
113.918386,37.525497
111.886667,36.794167
113.921028,37.503
112.845833,38.398333
113.965653,37.412475
111.915833,36.785278
112.901667,38.438333
112.861111,38.375
112.854167,38.372778
112.436667,35.759722
112.833333,37.307222
111.501944,36.710556
111.4925,36.719722
113.1475,40.068472
113.960139,37.431361
113.945231,37.388
113.940556,37.423389
113.942344,37.370078
113.936944,37.387194
111.014722,37.783889
111.928889,36.781111
113.926297,37.495861
111.928056,36.805556
111.936667,36.795278
113.965461,37.357328
112.819722,37.34
111.956944,36.705
112.856389,38.392778
112.872222,38.385278
112.874722,38.390833
111.954444,36.703056
111.498889,36.781111
113.127917,40.057
113.13,40.053944
111.492222,36.709167
111.937222,36.860278
111.965,36.698611
111.654167,36.758611
111.493333,36.710556
112.821389,37.335278
111.101667,37.610556
112.878611,38.3775
112.879167,38.388889
111.657222,36.758889
111.643611,36.748056
111.656667,36.771667
113.95975,37.377964
113.964006,37.380189
111.958889,36.701389
111.653889,36.766389
112.628611,35.656667
112.618333,35.677222
112.856389,38.391667
111.016111,37.786111
113.942833,37.426139
111.902222,36.893889
112.417222,35.759444
111.964444,36.702778
111.915833,36.765
111.926111,36.815278
111.9025,36.871389
112.43,35.746389
111.929444,36.815556
112.820556,37.349444
111.932222,36.803333
111.446389,36.731667
113.128167,40.072806
113.129111,40.111056
111.491111,36.709167
111.501944,36.709444
111.932222,36.798333
111.944444,36.711389
,
111.500556,36.780278
111.446944,36.733889
111.916667,36.763333
111.901944,36.763056
112.82,37.340556
113.912103,37.508444
111.641944,36.747222
113.950144,37.450961
112.834444,37.305556
112.833611,37.303611
112.833889,37.3025
112.8575,37.290278
112.845556,37.344444
112.844722,37.343611
112.851389,37.293889
112.850833,37.363333
112.821111,37.263889
112.820833,37.2625
111.914444,36.766111
111.935833,36.707778
112.808611,37.339167
112.813611,37.351944
112.815556,37.354444
112.829167,37.376389
112.828056,37.379722
112.844722,37.3875
112.833889,37.331667
112.831389,37.3125
112.833056,37.307778
112.837222,37.281111
112.823611,37.361111
112.823611,37.36
112.8525,37.349722
112.856944,38.360278
112.851667,37.35
112.871389,38.388333
112.825,37.358333
112.818611,37.356111
112.841111,37.337222
112.832222,37.3
112.8325,37.3
112.797778,37.330833
112.798333,37.332222
112.825,37.373333
112.823889,37.371111
112.820556,37.341944
112.829167,37.325
112.662778,37.324722
112.814167,37.353333
112.820278,37.341944
112.821667,37.3525
112.686667,37.356667
112.824444,37.360833
112.828056,37.327222
112.824722,37.345556
112.822222,37.363056
112.841944,37.398889
112.849444,37.372778
112.815556,37.353611
112.815,37.353611
112.819167,37.336667
112.825,37.371667
111.015833,37.824722
